Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Benin,BEN,401444.7278,408304.9949,388481.1172,400462.3193,419976.7478,434416.5122,441595.854,437685.1208,445338.9427,448659.7675,448370.292,432128.2585,449775.1244,455941.995,460267.4238,427311.9923,420528.9334,430394.2198,424604.2334,440530.7599,457923.7693,489935.6675,487166.0316,453039.2534,475217.1797,496469.4928,492737.0792,471352.9086,473052.3576,445519.7521,470055.0025,473649.5164,470984.7654,481323.7766,474509.7548,486891.4774,492218.1427,504920.5424,509617.6316,521224.0276,535534.6987,547293.7866,555539.4267,557464.5754,564922.9342,557884.5497,563324.6954,580247.9138,591714.6999,588666.3936,584477.9455,585161.9784,596394.8087,621690.1686,643072.5776,636615.4082,639958.1607,657909.7795,683033.8889,710377.1484,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bermuda,BMU,25406.46983,25952.52466,26472.60546,26138.85084,28330.16852,28967.81785,32544.02663,36155.33104,36219.95825,36770.8409,38381.16163,39991.36032,41016.76838,41934.80775,42619.53078,44559.26135,48359.72257,51019.90206,51567.97282,52479.81789,55747.28582,56680.62669,53298.51657,53901.66824,53687.91418,52173.06355,55181.86599,56789.01197,58588.13904,58354.11876,57888.18356,56130.76624,56505.07596,57893.83864,57838.43555,59952.29311,61119.53313,63542.14263,65537.12901,67375.9196,73000.67925,77432.8203,75793.77543,77867.69838,79156.46376,79962.34062,83912.6978,85815.31254,86612.58101,81582.11957,80501.65837,78488.22873,74423.94827,72328.45649,..,..,..,..,..,..,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11242.97468,12462.46175,12562.73071,13637.493,13880.93548,14067.05928,15243.54819,18997.9626,19349.36083,20284.3781,22125.147,21877.13249,22888.64169,23427.44632,24619.76905,26227.13292,27336.71299,28270.88574,29270.738,30869.0926,32275.3689,34238.98184,37239.01883,39396.34859,41045.9997,43363.4719,45786.81797,53585.11933,55593.60182,58758.19794,65088.43477,69493.96464,72188.28506,72820.31727,76082.17719,80152.57393,85627.48453,88545.95946,90159.50882,..,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bolivia,BOL,1667.304485,1669.269863,1728.091629,1809.307037,1843.556596,1895.294254,1989.985449,2072.385155,2202.652251,2253.109226,2320.865619,2386.364249,2521.114539,2608.136493,2626.430447,2756.953477,2820.982017,2896.200042,2891.124479,2832.717424,2735.018956,2686.156421,2528.321591,2377.679548,2325.359594,2240.003334,2137.495186,2144.702073,2160.989783,2195.906929,2249.59817,2318.556938,2307.540791,2356.068838,2415.190698,2476.588679,2532.462763,2604.954634,2682.137092,2641.292803,2655.685899,2649.426269,2664.786875,2686.940556,2748.699394,2819.473271,2903.418635,2984.172102,3114.536776,3165.902512,3242.811081,3356.665368,3472.594442,3650.654274,3790.976561,3915.423658,4022.394687,4130.840981,4244.528079,4278.33798,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1091.776933,1355.884541,2606.031227,3528.814556,4081.202607,4462.223477,4697.829347,4898.871179,5153.194231,5355.353249,5678.977332,6174.548479,6508.879691,6894.843103,7285.494095,7101.406581,7214.727139,7368.338962,7430.860767,7739.457687,7964.324759,8336.553953,8708.222122,8984.879101,9396.151933,9705.771554,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Botswana,BWA,2174.030174,2267.110994,2367.036034,2451.460467,2560.690342,2650.919474,2760.096614,2862.914575,3097.273962,3481.966792,3971.445162,4852.872064,5941.486781,6968.821966,7318.837238,7651.762516,8151.732969,8782.46572,9656.0021,10420.88085,11243.79519,11834.14319,12826.2519,14027.99685,14705.48961,15191.50799,15821.28543,17027.34153,19573.74988,21340.12257,22036.91244,22974.15748,22998.71864,22843.7263,23095.56301,24128.45585,24931.71532,26381.68012,25903.46384,27800.03776,27782.05769,27330.38829,28479.64558,29285.87377,29547.96993,30318.21728,32194.9126,34124.46548,35495.23454,32143.768,34306.25432,35870.39935,37025.20006,40765.7108,41927.08658,40591.29087,41569.30416,41899.97134,42825.02398,43146.42941,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Brazil,BRA,6011.806416,6439.360725,6580.170226,6447.428591,6483.519095,6496.454312,6582.672435,6722.714301,7296.073935,7802.718789,8275.835454,8986.703236,9830.209501,10941.36906,11651.91256,11971.88075,12835.73449,13112.35583,13219.13767,13783.45569,14688.41897,13716.22616,13476.48983,12720.27578,13093.67707,13832.06803,14630.41637,14857.69657,14559.71423,14759.65057,14045.00733,14008.70629,13707.25966,14109.85109,14621.69791,15023.70324,15113.31308,15383.93369,15201.73152,15048.32483,15486.50593,15488.57643,15753.34968,15733.98307,16441.55241,16774.70881,17250.23055,18108.37858,18842.56641,18638.70041,19854.75871,20455.6445,20663.16901,21098.93703,21024.56766,20109.68696,19291.34192,19389.40677,19491.42526,19565.36486,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62219.56833,59908.73869,69177.95887,73860.78105,76040.4012,90018.09983,81010.16356,62954.14931,63525.48904,62034.47679,60662.05386,58087.33298,54927.61622,54463.19797,53519.67603,51459.5511,50559.81501,50683.30604,51605.92423,50331.75649,50520.76738,51422.61623,51598.83232,49644.1787,48255.34242,48651.01468,48992.73183,49320.25621,50233.10466,50739.19863,50123.96413,49535.2709,50994.5455,50432.92201,48873.86123,47450.56837,48090.03566,49252.19971,49041.45227,47354.1186,45563.78204,44822.97226,43202.80491,43294.8621,42864.16979,44078.41741,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5931.526658,6201.478991,6327.511287,6528.252903,6734.206707,6915.017018,7207.884673,7633.049859,8458.952788,8276.942287,7659.216897,7082.166224,6638.02489,6592.141969,6734.819569,6958.371733,7353.784594,6348.608313,6664.991681,6147.431669,6473.297013,6855.517108,7423.023592,7867.519527,8437.782466,9109.719294,9803.554048,10523.47463,11242.53163,10927.81515,11062.66808,11395.58727,11503.11365,11604.54129,11891.79475,12445.37838,13010.67395,13565.6351,14085.36638,14663.12292,..
