Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Arable land (% of land area),AG.LND.ARBL.ZS,Benin,BEN,..,8.158921603,8.336289464,8.513657325,8.691025186,8.868393047,9.134444839,9.48918056,9.755232352,10.4647038,10.64207166,11.08549131,11.3515431,11.52891096,11.79496275,12.14969847,12.41575027,12.68180206,12.85916992,13.03653778,13.30258957,13.56864136,13.74600922,13.83469315,13.92337708,14.01206101,14.10074495,14.18942888,14.27811281,14.36679674,14.32245477,14.36679674,14.45548067,14.63284853,15.07626818,15.87442355,17.29336644,18.6236254,19.95388436,20.39730401,21.10677545,21.72756297,22.61440227,23.50124158,24.38808088,23.94466123,22.17098262,22.17098262,23.05782192,21.72756297,22.52571834,22.88045406,23.94466123,23.94466123,23.94466123,23.94466123,23.94466123,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bermuda,BMU,..,7.407407387,5.555555678,5.555555678,7.407407387,7.407407387,7.407407387,7.407407387,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bhutan,BTN,..,2.140273616,2.140273616,2.140273616,2.140273616,2.140273616,2.140273616,2.140273616,2.140273616,2.140273616,2.354300978,2.354300978,2.354300978,2.354300978,2.461314659,2.461314659,2.56832834,2.56832834,2.56832834,2.675342021,2.782355701,2.782355701,2.889369382,3.103396744,3.103396744,3.103396744,3.103396744,3.12479948,3.017785799,2.84656391,2.889369382,2.889369382,2.889369382,2.910772118,3.51758794,3.668341709,3.793969849,3.844221106,3.844221106,3.844221106,2.663316583,2.788944724,2.788944724,2.788944724,4.145132146,4.381247269,3.969357635,3.575832432,2.623501358,2.623501358,2.639242327,2.628748281,2.628748281,2.628748281,2.628748281,2.628748281,2.621644362,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bolivia,BOL,..,1.194498292,1.196344503,1.203729346,1.237884243,1.269269824,1.305270931,1.336656513,1.373580726,1.409581833,1.44373673,1.468660574,1.508354103,1.548970738,1.579433213,1.617280532,1.668051325,1.703129327,1.732668697,1.763131173,1.793593649,1.827748546,1.862826549,1.893289024,1.932059448,1.892365919,1.901596972,1.910828025,1.920059079,1.929290132,1.938521185,1.947752239,1.984676452,2.030831718,2.169297517,2.400073848,2.483153328,2.651158497,2.74531524,2.833933352,2.902243146,2.907781778,3.046247577,3.243792117,3.303793963,3.513338872,3.604726299,3.850272316,3.937967322,4.111511123,3.966583587,4.004430906,4.081971753,4.1595126,4.126280809,4.08843349,4.110588018,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.6015625,16.6015625,16.6015625,16.6015625,17.578125,17.578125,18.5546875,18.5546875,19.53125,19.7265625,19.47265625,19.86328125,20.078125,20.01953125,20.05859375,19.9609375,19.6875,19.47265625,19.609375,19.62890625,19.58984375,19.70703125,19.6484375,19.9609375,20.0390625,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Botswana,BWA,..,0.70403896,0.70403896,0.70403896,0.70403896,0.705803469,0.705803469,0.705803469,0.705803469,0.705803469,0.705803469,0.705803469,0.707567978,0.707567978,0.707567978,0.707567978,0.707567978,0.707567978,0.707567978,0.711096995,0.711096995,0.711096995,0.714626012,0.714626012,0.714626012,0.71815503,0.71815503,0.721684047,0.721684047,0.73050659,0.741093642,0.529352602,0.441127168,0.617578035,0.696980926,0.608755492,0.608755492,0.529352602,0.405836995,0.423482081,0.617578035,0.352901735,0.432304625,0.344079191,0.39877896,0.423482081,0.354666243,0.321140578,0.49229792,0.557584741,0.457007746,0.57170081,0.502884972,0.488768902,0.70403896,0.458066462,0.458066462,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Brazil,BRA,..,2.646282546,2.871452261,3.110739949,3.230383794,3.350027638,3.469671482,3.589315326,3.828603015,3.948246859,4.187534547,4.426822236,4.54646608,4.666109924,4.905397612,5.025041457,5.144685301,5.264329145,5.264329145,5.372008605,5.383972989,5.455759296,5.623260678,5.623260678,5.635225062,5.659153831,5.862548366,5.922370288,5.958263441,5.970227826,6.063669668,6.221240611,6.197910061,6.253065874,6.310614563,6.946401951,6.922353538,6.913978469,6.905507591,6.909049236,6.912590413,7.067481521,7.358574994,7.733060226,8.174904943,8.274209334,8.319793638,8.182203217,8.404980055,8.427712386,8.41849981,8.647019552,8.686980596,9.184100769,9.691988887,9.752528673,9.688279928,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,British Virgin Islands,VGB,..,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,20,20,20,20,20,20,20,20,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Brunei Darussalam,BRN,..,0.759013283,0.759013283,0.759013283,0.759013283,0.759013283,1.138519924,1.138519924,1.138519924,1.138519924,1.138519924,0.759013283,0.759013283,0.759013283,0.759013283,0.759013283,0.759013283,0.759013283,0.759013283,0.759013283,0.569259962,0.569259962,0.569259962,0.569259962,0.569259962,0.569259962,0.569259962,0.569259962,0.569259962,0.569259962,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.569259962,0.569259962,0.759013283,0.759013283,0.759013283,0.759013283,0.948766603,0.948766603,0.948766603,0.948766603,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bulgaria,BGR,..,38.43442104,37.54858537,37.40395914,37.783603,37.66609419,37.65705505,37.47627226,37.54858537,37.58474193,37.4401157,37.34972431,37.31356775,37.24125463,37.04239356,35.7678749,35.61420953,35.58709211,35.48766157,35.22552653,34.59278677,34.56566935,34.51143451,34.45719967,34.41200398,34.4391214,34.52047365,34.57470849,34.71029558,34.7826087,34.85492181,34.92723493,36.58139745,36.72602368,36.16559704,36.13847962,37.99150321,38.85022146,31.96239718,32.34204104,31.87200579,31.33869656,30.83639706,30.55070332,30.46156675,29.20655376,28.83181442,28.40438265,28.43200442,28.97936625,29.34782609,29.93736183,30.55453206,32.0467944,32.11127487,32.32958688,32.20338983,..,..,..,..
